#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,1,2.42168378902372,2.35177422494819,0.501422329715184,2.2454394676731
3000,1,5.85435080263378,3.52982702124078,0.965407751093205,5.82674399802449
5000,1,5.46977837919742,3.26787725210351,0.875477769108203,5.45793543959488
7000,1,5.75684558468476,3.10771858026847,0.920480286444934,5.7574978122924
9000,1,6.04128397655484,3.47825219132916,0.96539566763106,6.03449757085001
11000,1,6.58286157356007,3.79732298814221,1.03854648810598,6.58354176492942
13000,1,6.69175579423646,3.90236457361964,1.05664375303459,6.69135578842721
15000,1,6.55330475327318,3.79802061292142,1.03673048362268,6.55871292842452
17000,1,1.18772764659769,3.79887300850547,1.1487426778605,3.99517016433507
19000,1,1.19194971333056,3.81127696603221,1.15511899438305,4.42123724849533
21000,1,1.22939054907954,3.95712174267938,1.18967590087574,4.83528119958681
23000,1,1.2843456408014,4.06129491451159,1.27833945357437,4.17246556068343
25000,1,1.21771299448448,3.83742601500971,1.19915631786443,4.11395946026014
27000,1,1.21289229686135,3.68942419945007,1.20216160500071,4.34999176927109
29000,1,1.24269426653511,3.80440235173864,1.23396194004044,4.69779677892396
31000,1,1.23127637816849,3.718717866222,1.21559513946764,4.69423414453153
33000,1,1.22454573000063,3.68301827091466,1.23411506283616,4.16044346001765
35000,1,1.23066533208595,3.58548916098904,1.22907600463299,4.68214810260587
37000,1,1.20441108969403,3.46357667105593,1.19496690598628,4.19987555381227
39000,1,1.19234372006348,3.37080271082187,1.20826754294244,4.69850717256138
41000,1,1.20951615442158,3.31052575027781,1.22573699892147,4.33290394978962
43000,1,1.2085974700525,3.26973674259777,1.21310685601264,4.79875749989379
45000,1,1.24233929044771,3.23784632404798,1.24245034383899,4.81252305480741
47000,1,1.22201842562815,2.93653847034035,1.2397553070343,4.22702168380211
49000,1,1.23190133099029,2.69666322166843,1.22436319711886,4.10331447671884
