#size,StencilSEQ,StencilCUDA,StencilCudaCpu,StencilCudaGpu,StencilCudaHybrid3
1000,30139089.91,12445510.04,12815469.10,60107195.32,13422356.89
3000,454282891.04,77597483.71,128698343.66,470560641.89,77965136.48
5000,1137163352.34,207899346.83,347982272.47,1298906028.76,208350458.69
7000,2330547050.09,404830564.90,749922166.34,2531881545.33,404784704.41
9000,4030660348.48,667186042.59,1158817741.43,4175138219.10,667936361.09
11000,6467450564.22,982467957.43,1703160511.87,6227405935.40,982366451.85
13000,9190075020.00,1373342856.88,2355001652.62,8697420482.17,1373424954.61
15000,11990013343.53,1829613270.70,3156911076.98,11565217318.23,1828104610.52
17000,15472609095.28,13027068233.70,4072947176.87,13469168851.72,3872828555.19
19000,19428108759.66,16299436580.57,5097532646.62,16819140585.63,4394269673.33
21000,24451950092.77,19889489236.01,6179226135.26,20553454999.61,5056986157.26
23000,30465635635.82,23720745154.56,7501458593.16,23832195392.73,7301590676.48
25000,33745443430.50,27712148579.63,8793770433.23,28140987899.39,8202667954.43
27000,39506122112.29,32571830338.54,10707937059.17,32862571843.88,9081884336.28
29000,46005523419.53,37020789954.88,12092707123.50,37282773420.08,9792999907.09
31000,52084097864.97,42300899122.62,14005928854.69,42846582857.99,11095334459.54
33000,59151041779.04,48304477595.14,16060480135.59,47929924494.32,14217484830.04
35000,66246448595.10,53829783668.98,18476265195.80,53899391368.30,14148729844.37
37000,73104600913.33,60697382761.48,21106678978.48,61177092476.04,17406373111.93
39000,81346061895.76,68223667829.13,24132549091.23,67324544444.57,17313171802.91
41000,90898294689.07,75152609046.83,27457359206.90,74158073688.77,20978608282.67
43000,100954118911.18,83529977029.32,30875304912.46,83219477666.63,21037553765.41
45000,110743041584.49,89140738311.98,34202686138.00,89132770684.67,23011430869.69
47000,120523439654.14,98626532240.86,41042690525.41,97215506132.78,28512614476.52
49000,131188297455.88,106492536500.81,48648380117.23,107148187535.03,31971299835.83
